ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-11-10,146.7542731210522,47.15876931410419,290.9025059081426,146.7542731210522,146.7542731210522,27.139742176870953,27.139742176870953,27.139742176870953,-3.912587547628412,-3.912587547628412,-3.912587547628412,31.052329724499366,31.052329724499366,31.052329724499366,0.0,0.0,0.0,173.89401529792315
2021-11-11,146.652480704999,63.633066151944995,302.76164131148244,146.652480704999,146.652480704999,35.91661708973724,35.91661708973724,35.91661708973724,3.7381347079874288,3.7381347079874288,3.7381347079874288,32.17848238174981,32.17848238174981,32.17848238174981,0.0,0.0,0.0,182.56909779473622
2021-11-12,146.5506882889458,56.18556775519788,294.40558526864277,146.5506882889458,146.5506882889458,32.613781107051246,32.613781107051246,32.613781107051246,-0.6120553324958478,-0.6120553324958478,-0.6120553324958478,33.225836439547095,33.225836439547095,33.225836439547095,0.0,0.0,0.0,179.16446939599703
2021-11-13,146.44889587289256,62.35464022419126,302.53934324047503,146.44889587289256,146.44889587289256,35.13023970118197,35.13023970118197,35.13023970118197,0.9471884867250009,0.9471884867250009,0.9471884867250009,34.183051214456974,34.183051214456974,34.183051214456974,0.0,0.0,0.0,181.57913557407454
2021-11-14,146.34710345683933,56.243631651844495,305.3607361116777,146.34710345683933,146.34710345683933,29.414762613752472,29.414762613752472,29.414762613752472,-5.624541959848532,-5.624541959848532,-5.624541959848532,35.03930457360101,35.03930457360101,35.03930457360101,0.0,0.0,0.0,175.7618660705918
2021-11-15,146.24531104078613,67.09759200991239,305.6374055676474,146.24531104078613,146.24531104078613,38.42910909235233,38.42910909235233,38.42910909235233,2.6445288376836884,2.6445288376836884,2.6445288376836884,35.78458025466864,35.78458025466864,35.78458025466864,0.0,0.0,0.0,184.67442013313845
2021-11-16,146.1435186247329,60.307932767558206,305.5995854254606,146.1435186247329,146.1435186247329,39.22929772645837,39.22929772645837,39.22929772645837,2.819332807580237,2.819332807580237,2.819332807580237,36.40996491887813,36.40996491887813,36.40996491887813,0.0,0.0,0.0,185.37281635119126
2021-11-17,146.04172620867968,53.43872767495079,300.4465474496029,146.04172620867968,146.04172620867968,32.9953586280085,32.9953586280085,32.9953586280085,-3.912587547653272,-3.912587547653272,-3.912587547653272,36.90794617566178,36.90794617566178,36.90794617566178,0.0,0.0,0.0,179.03708483668817
2021-11-18,145.93993379262648,60.65387180150209,311.32121968703706,145.93993379262648,145.93993379262648,41.01083660391846,41.01083660391846,41.01083660391846,3.73813470800404,3.73813470800404,3.73813470800404,37.27270189591442,37.27270189591442,37.27270189591442,0.0,0.0,0.0,186.95077039654495
2021-11-19,145.83814137657328,61.2619795632059,295.67510252264884,145.83814137657328,145.83814137657328,36.8883151960101,36.8883151960101,36.8883151960101,-0.6120553324973536,-0.6120553324973536,-0.6120553324973536,37.50037052850745,37.50037052850745,37.50037052850745,0.0,0.0,0.0,182.72645657258337
2021-11-20,145.73634896202225,64.07746165408071,294.499874347111,145.73634896202225,145.73634896202225,38.53648038203886,38.53648038203886,38.53648038203886,0.9471884867184777,0.9471884867184777,0.9471884867184777,37.58929189532038,37.58929189532038,37.58929189532038,0.0,0.0,0.0,184.2728293440611
2021-11-21,145.63455654747125,58.50225915216047,301.35048841325033,145.63455654747125,145.63455654747125,31.915666130831752,31.915666130831752,31.915666130831752,-5.624541959861058,-5.624541959861058,-5.624541959861058,37.54020809069281,37.54020809069281,37.54020809069281,0.0,0.0,0.0,177.550222678303
2021-11-22,145.53276413292022,63.53254369310937,300.2748731981422,145.53276413292022,145.53276413292022,40.00094350521091,40.00094350521091,40.00094350521091,2.6445288377058085,2.6445288377058085,2.6445288377058085,37.356414667505106,37.356414667505106,37.356414667505106,0.0,0.0,0.0,185.53370763813115
2021-11-23,145.43097171836922,56.280730220809716,307.7116447773494,145.43097171836922,145.43097171836922,39.86318606211639,39.86318606211639,39.86318606211639,2.8193328075829083,2.8193328075829083,2.8193328075829083,37.04385325453349,37.04385325453349,37.04385325453349,0.0,0.0,0.0,185.29415778048562
2021-11-24,145.3291793038182,63.89890870140967,314.4617659667754,145.3291793038182,145.3291793038182,32.698550554842015,32.698550554842015,32.698550554842015,-3.9125875476392498,-3.9125875476392498,-3.9125875476392498,36.61113810248127,36.61113810248127,36.61113810248127,0.0,0.0,0.0,178.02772985866022
2021-11-25,145.2273868892672,61.18540714952112,307.3296475575148,145.2273868892672,145.2273868892672,39.8076454784769,39.8076454784769,39.8076454784769,3.7381347079991722,3.7381347079991722,3.7381347079991722,36.06951077047773,36.06951077047773,36.06951077047773,0.0,0.0,0.0,185.0350323677441
2021-11-26,145.12559447471617,59.45118628607184,297.27981868679603,145.12559447471617,145.12559447471617,34.82066386146587,34.82066386146587,34.82066386146587,-0.6120553324908597,-0.6120553324908597,-0.6120553324908597,35.43271919395672,35.43271919395672,35.43271919395672,0.0,0.0,0.0,179.94625833618204
2021-11-27,145.02380206016517,53.77426415057944,296.3376217573689,145.02380206016517,145.02380206016517,35.664008150677674,35.664008150677674,35.664008150677674,0.947188486711955,0.947188486711955,0.947188486711955,34.716819663965715,34.716819663965715,34.716819663965715,0.0,0.0,0.0,180.68781021084283
2021-11-28,144.92200964561414,51.60197264492123,296.24633324672374,144.92200964561414,144.92200964561414,28.315360764662458,28.315360764662458,28.315360764662458,-5.624541959834478,-5.624541959834478,-5.624541959834478,33.93990272449693,33.93990272449693,33.93990272449693,0.0,0.0,0.0,173.23737041027658
2021-11-29,144.82021723106317,53.97614997836372,302.58312402584073,144.82021723106317,144.82021723106317,35.7662754189988,35.7662754189988,35.7662754189988,2.6445288376792653,2.6445288376792653,2.6445288376792653,33.121746581319535,33.121746581319535,33.121746581319535,0.0,0.0,0.0,180.58649265006198
